Employee ID,Leave Type,Leave Balance (Days),Days Requested,Days Approved,Leave Taken Start,Leave Taken End,Leave Accrual Rate,Notes
E001,Annual Leave,100,,,,,1.5 days/month,
E002,Annual Leave,45,,,,,1.5 days/month,
E003,Annual Leave,76,,,,,1.5 days/month,
E004,Annual Leave,1,,,,,1.5 days/month,
E005,Annual Leave,5,,,,,1.5 days/month,
E006,Annual Leave,4,,,,,1.5 days/month,
E007,Annual Leave,0,,,,,1.5 days/month,
E008,Annual Leave,36,,,,,1.5 days/month,
E009,Annual Leave,51,,,,,1.5 days/month,
E010,Annual Leave,19,,,,,1.5 days/month,
E011,Annual Leave,18,,,,,1.5 days/month,
E012,Annual Leave,22,,,,,1.5 days/month,
E013,Annual Leave,17,,,,,1.5 days/month,
E014,Annual Leave,13,,,,,1.5 days/month,
E015,Annual Leave,23,,,,,1.5 days/month,
E016,Annual Leave,0,,,,,1.5 days/month,
E017,Annual Leave,5,,,,,1.5 days/month,
E018,Annual Leave,7,,,,,1.5 days/month,
E019,Annual Leave,3,,,,,1.5 days/month,
E020,Annual Leave,2,,,,,1.5 days/month,
E021,Annual Leave,3,,,,,1.5 days/month,
E022,Annual Leave,4,,,,,1.5 days/month,
E023,Annual Leave,5,,,,,1.5 days/month,
E024,Annual Leave,6,,,,,1.5 days/month,
E025,Annual Leave,7,,,,,1.5 days/month,
E026,Annual Leave,8,,,,,1.5 days/month,
