Employee ID,Position Title,Position Level ,Skills Required,Qualifications,Qualification Date,Expiry Date,Licenses/Permits,Competency Status
E001,CEO,M3,,,2019-08-14,2026-04-25,Driver License,
E002,Executive Assistant,C1,,,2025-12-26,,MS 365 Suite,
E003,Chief Financial Officer,M1,,,2016-09-20,2026-05-03,Driver License,
E004,Accounts Receivable,F2,,,2022-05-28,,Xero,
E005,Accounts Payable,F2,,,2018-02-12,,Reckon,
E006,Payroll Officer,F2,,Cert IV HR,2025-01-26,,Bamboo,
E007,Sales Manager,M1,,,2019-09-13,2026-09-09,Driver License,
E008,Sales Team Leader,S5,,,2019-05-16,2026-07-24,Driver License,
E009,Sales Team Leader,S5,,,2020-11-07,2026-05-29,Driver License,
E010,Sales Rep,S1,,,2018-10-03,2026-05-19,Driver License,
E011,Sales Rep,S3,,,2020-07-17,2026-09-23,Driver License,
E012,Sales Rep,S3,,,2019-05-07,2026-04-02,Driver License,
E013,Sales Rep,S3,,,2016-04-13,2026-06-16,Driver License,
E014,Sales Rep,S1,,,2015-11-10,2026-03-09,Driver License,
E015,Sales Rep,S1,,,2016-06-30,2025-12-22,Driver License,
E016,Operations Manager,M1,,Cert III HR,2017-04-12,,ERP,
E017,Operations Staff,O1,,,2020-03-22,2026-05-01,Driver License - Truck,
E018,Operations Staff,O1,,,2018-11-19,2026-07-11,Forklift,
E019,Operations Staff,O3,,,2020-07-08,2026-03-14,Forklift,
E020,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
E021,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
E022,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
E023,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
E024,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
E025,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
E026,Operations Staff,O1,,,2017-10-14,2026-03-22,Forklift,
